String ,Count
computer networking chapter,1
computer network,3
share hardware,1
software resources,1
advantages,9
resource sharing,1
collaborative,1
user interaction d. time,1
increased,1
networking hardware transmission media-,1
transmission medium,1
wired media-,1
various types,1
computer networks,4
twisted pair,1
disadvantages,8
long distances,1
low bandwidth,1
broadband applications,1
co-axial,2
advantages-,2
less,2
electromagnetic fields,2
disadvantages-,2
bulkier,1
1cm diameter,1
pair cable,1
optical fiber,1
large distance,1
specially,1
skilled people,1
install optical fiber cables,1
till,1
efficient cable,1
comparison,1
wireless media,2
waves,1
cordless,2
fm,1
radio broadcast,1
garage,1
door openers etc,1
radio wave transmission,1
difficult terrain,2
antennas need,2
electrical equipment •,1
permission,1
radio wave,1
transmission,2
micro waves microwaves,1
straight lines,2
solid object,2
long distance microwave communication,1
high towers,1
microwave antennas,2
big cities,1
dig land,1
high rise buildings,1
short time,1
free,1
land acquisition rights •,1
media •,1
offers,1
sight transmission,3
infrared waves,1
short range communication,2
wireless communications,1
control applications,1
home-entertainment,1
remote-control devices,1
intrusion,3
government license,1
performance,1
bluetooth- bluetooth,1
technology uses radio waves,1
frequency range,1
ghzto,1
ghz,1
wireless communication,1
baby,1
door openers,1
cell phones,1
bluetooth,3
• line,1
upto 1mbps,1
satellite link satellite,1
distance wireless communication,1
satellite system,1
area coverage,1
fringe benefits compensate,1
satellites,1
large area,1
earth •,1
attractive option,1
expensive •,1
requires,1
legal permissions,1
network devices,1
transmission media,1
network interface card,3
nic,6
hub,2
electronic device,1
broadcast mode,1
switch,3
intelligent device,1
repeater,2
communication channel,1
repeater regenerates,1
different types,1
network topologies,1
topology,2
physical connections,1
different network topologies,1
bus topology,4
main cable,1
backbone,1
cable length,2
terminator fault,1
entire network,2
fault,1
transmit data,1
star topology,2
efficient topology,1
central hub/switch,1
tree topology,1
tree,1
star topologies,1
multiple star topology networks,1
easy way,1
network expansion,1
network protocols,1
network protocol,1
protocols,1
http,3
tcp/ip,3
ppp,3
hyper text transfer protocol,1
wide web,1
protocol,2
internet protocol,1
communication,1
direct communication,1
personal computer,1
phone line,2
physical networks,1
cellular telephone,1
serial cable,1
trunk line,1
radio links,1
fiber optic links,1
types,1
networks,1
pan,3
personal,1
network-,4
communicating,1
computer,1
phone,1
mp3/mp4 player,1
camera etc,1
usb,2
infrared,2
lan,5
local area,1
kilometers radius,2
utp,1
cables etc,1
radio waves,1
wlan,1
man,3
metropolitan area,1
government offices,1
mans,1
good example,1
state government,1
wan,3
-wide area,1
kilometer radius,1
atms,1
banks,1
national government,1
offices,2
organizations,2
wans,1
identification,1
mac,7
media access,1
’ s,1
a0,2
c9,2
c8:35,2
intel,2
ip address-,1
ip address,1
ip,10
specific machine,1
pc,2
network resource,1
pcs ip,1
pcs mac,1
ip address vs mac address,1
network administrator,1
internet service provider,1
domain name,2
whenever,1
assigns names,1
web servers,1
domain names,2
examples,3
indianrailway.gov.in etc,1
generic domain names,1
commercial business ·edu,1
educational,1
institutions ·gov,1
government agencies ·mil,1
military ·net,1
network,3
organizations ·org,1
specific domain names,1
india,1
australia,1
canada,1
china,1
zealand,1
pakistan,1
japan,1
america domain name resolution,1
network security,2
denial,5
dos,1
network resources,1
legitimate users,1
such attacks,1
access,4
information,1
corrupting,1
encrypting,1
legitimate user,1
application,1
forced,1
resources,1
blocking,1
website,1
continuously,1
bulk requests,1
's computer,3
snooping,1
person 's,2
organization 's data,2
's login information,1
reading,1
eavesdropping,1
parallel telephone lines,1
target computer,1
security refers,1
protecting,1
security attacks a.,1
login-password,1
login names,1
strong passwords,1
people access,1
firewall,1
hardware device,1
anti virus software,1
anti-virus,1
softwares work,1
full version,1
anti-virus software network security,1
file permissions,1
different,1
different users,1
appropriate rights,1
respective users,1
computer security,1
